codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,salario,horas_trabajadas,educacion,experiencia_potencial,salario_horario
TQRMNOPYRHJMKPCDEIGED00785098,2023,3,Pampeana,30,01/01/1900,30,asistio,"Secundaria
Incompleta",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,48000,15,10,15,800
TQRMNOQRXHKMLOCDEHLEH00790365,2023,3,Noroeste,25,01/01/1900,28,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,50000,25,13,10,500
TQRMNOPURHLOLMCDEGPDJ00805561,2023,3,Noroeste,19,22/07/1965,57,asistio,"Secundaria
Incompleta",Privada,4903,Varon,Obrero o empleado,unico,Sabe leer y escribir,140000,63,11,41,555.5555555555555
TQRMNOPTQHJMQTCDEIJAH00786499,2023,3,Gran Buenos Aires,33,20/10/1954,68,asistio,"Primaria
Completa",Privada,4803,Varon,Cuenta propia,unico,Sabe leer y escribir,60000,30,8,55,500
TQRMNOVSTHKNRPCDEIJAH00812204,2023,3,Gran Buenos Aires,33,19/02/1980,43,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,170000,40,16,22,1062.5
TQRMNOSUXHJOLNCDEOJAH00793052,2023,3,Patagonia,93,02/02/1984,39,asistio,"Primaria
Completa",Privada,101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,100000,48,8,26,520.8333333333334
TQRMNOSSRHKNKPCDEGKDB00789386,2023,3,Pampeana,14,01/01/1900,35,asistio,"Secundaria
Completa",Privada,1600,Varon,Obrero o empleado,unico,Sabe leer y escribir,186000,40,13,17,1162.5
TQRMNORYXHKMKPCDEOHCH00792854,2023,3,Patagonia,91,10/01/1963,60,asistio,"Primaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,150000,36,8,47,1041.6666666666667
TQRMNOSUXHJMKTCDEHIBB00784252,2023,3,Noroeste,22,06/10/1960,62,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,30,10,47,1000
TQRMNOQRTHJMLOCDEIMBF00792569,2023,3,Pampeana,36,27/12/1990,32,asistio,"Secundaria
Completa",Privada,4501,Varon,Obrero o empleado,unico,Sabe leer y escribir,190000,45,13,14,1055.5555555555557
TQRMNOQTUHLMLMCDEGOIH00805408,2023,3,Noroeste,18,28/01/1990,33,asistio,"Secundaria
Incompleta",Estatal,8101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,43000,20,9,19,537.5
TQRMNOPYUHKOLQCDEHPJB00790821,2023,3,Noroeste,29,15/03/1969,54,asistio,"Superior
Universitaria
Incompleta",Privada,7000,Varon,Obrero o empleado,unico,Sabe leer y escribir,150000,36,15,34,1041.6666666666667
TQRMNOTPTHLOLPCDEFPCH00804431,2023,3,Patagonia,9,05/09/1980,42,asistio,"Primaria
Incompleta",Privada,4807,Varon,Obrero o empleado,unico,Sabe leer y escribir,85000,44,5,32,482.95454545454544
TQRMNOPSRHJOKRCDEGNFJ00789596,2023,3,Patagonia,17,26/11/2000,22,asistio,"Secundaria
Completa",Privada,9603,Mujer,Obrero o empleado,unico,Sabe leer y escribir,121000,42,13,4,720.2380952380952
TQRMNORRPHLMKMCDEIMBF00813062,2023,3,Pampeana,36,12/05/1966,57,asistio,"Secundaria
Incompleta",Privada,3600,Varon,Obrero o empleado,unico,Sabe leer y escribir,200000,40,11,41,1250
TQRMNOQPYHMOMLCDEIKAH00812861,2023,3,Pampeana,34,01/12/1975,47,asistio,"Primaria
Completa",Otra,101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,40000,15,8,34,666.6666666666666
TQRMNOPVTHJOKUCDEIOAH00786919,2023,3,Pampeana,38,01/01/1900,53,asistio,"Primaria
Completa",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,450000,60,8,40,1875
TQRMNORWSHMOLLCDEHNHB00811392,2023,3,Cuyo,27,21/10/1971,51,asistio,"Primaria
Completa",Privada,8101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,140000,48,8,38,729.1666666666666
TQRMNOSTQHJOLOCDEGPDJ00784017,2023,3,Noroeste,19,03/08/1985,38,asistio,"Secundaria
Incompleta",Privada,8000,Varon,Obrero o empleado,unico,Sabe leer y escribir,170000,48,12,21,885.4166666666666
TQRMNOPPTHMOKRCDEGJBF00810089,2023,3,Pampeana,13,24/03/1978,45,asistio,"Secundaria
Completa",Privada,1009,Mujer,Cuenta propia,unico,Sabe leer y escribir,140000,56,13,27,625
TQRMNOPPXHJLLNCDEHIBB00784194,2023,3,Noroeste,22,20/06/1967,56,asistio,"Primaria
Completa",Privada,4000,Varon,Patron,unico,Sabe leer y escribir,80000,48,8,43,416.6666666666667
TQRMNORPWHKMKNCDEHLEH00790392,2023,3,Noroeste,25,01/01/1900,21,asistio,"Primaria
Completa",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,70000,36,8,8,486.1111111111111
TQRMNOQPUHKOLTCDEHPJB00790873,2023,3,Noroeste,29,01/01/1900,38,asistio,"Primaria
Incompleta",Privada,4803,Varon,Cuenta propia,multiples,Sabe leer y escribir,90000,16,6,27,1406.25
TQRMNOTQQHMMKPCDEIGED00811769,2023,3,Pampeana,30,17/10/1976,46,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,350000,25,19,22,3500
TQRMNORQYHJOKOCDEGJBF00783260,2023,3,Pampeana,13,03/12/1996,26,asistio,"Secundaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,20000,40,9,12,125
TQRMNOPWRHMLKOCDEOJAH00813432,2023,3,Patagonia,93,01/01/1900,42,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,165000,30,13,24,1375
TQRMNOPXSHKOKOCDEFPCH00788468,2023,3,Patagonia,9,18/01/2002,21,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,280000,44,13,3,1590.909090909091
TQRMNOQRVHJNKPCDEGGFB00788529,2023,3,Cuyo,10,01/01/1900,39,asistio,"Superior
Universitaria
Completa",Estatal,9301,Mujer,Obrero o empleado,unico,Sabe leer y escribir,60000,40,16,18,375
TQRMNOQSYHLOKSCDEHIBB00805775,2023,3,Noroeste,22,14/03/1963,60,asistio,"Superior
Universitaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,87000,30,16,39,725
TQRMNOSSTHKOKQCDEHNHB00790696,2023,3,Cuyo,27,09/06/1977,46,asistio,"Secundaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,87000,30,13,28,725
TQRMNOPQQHLMKSCDEIOAH00808273,2023,3,Pampeana,38,10/11/1966,56,asistio,"Secundaria
Completa",Privada,4807,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,40,13,38,750
TQSMNOQVSHJMLNCDEIGED00791064,2023,3,Pampeana,30,10/03/1999,24,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,220000,30,19,0,1833.3333333333333
TQRMNOWSYHKOKMCDEFOCD00788344,2023,3,Noreste,8,11/12/1989,33,asistio,"Secundaria
Completa",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,40,13,15,625
TQRMNOSWXHKOKMCDEGOIH00789633,2023,3,Noroeste,18,29/01/1988,35,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,40000,25,13,17,400
TQRMNOPPWHJMKRCDEGGFB00782991,2023,3,Cuyo,10,06/07/1998,25,asistio,"Secundaria
Completa",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,30000,34,13,7,220.58823529411765
TQRMNORSXHMMLOCDEFNFF00809326,2023,3,Noreste,7,20/03/2000,23,asistio,"Secundaria
Incompleta",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,60000,28,11,7,535.7142857142857
TQRMNORRPHJOKMCDEGKDB00783515,2023,3,Pampeana,14,01/01/1900,27,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,40000,10,13,9,1000
TQRMNOQSVHLMLQCDEHJGH00805930,2023,3,Noroeste,23,18/08/1989,33,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,430000,48,13,15,2239.5833333333335
TQRMNOQRPHKMKMCDEHIBB00790058,2023,3,Noroeste,22,01/05/1973,50,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,200000,17,16,29,2941.176470588235
TQRMNORXTHJMKUCDEGIBJ00783190,2023,3,Noreste,12,15/04/1970,53,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,277000,50,16,32,1385
TQRMNOPTUHJMKQCDEFJAH00781955,2023,3,Pampeana,3,10/05/1980,43,asistio,"Secundaria
Completa",Privada,4808,Varon,Obrero o empleado,unico,Sabe leer y escribir,420000,48,13,25,2187.5
TQRMNORSWHJMLMCDEHLEH00784560,2023,3,Noroeste,25,06/11/1968,54,asistio,"Secundaria
Incompleta",Privada,5601,Mujer,Obrero o empleado,unico,Sabe leer y escribir,80000,48,10,39,416.6666666666667
TQRMNOQTTHLKLRCDEGGFB00804646,2023,3,Cuyo,10,01/01/1900,50,asistio,"Superior
Universitaria
Incompleta",Privada,1009,Varon,Patron,unico,Sabe leer y escribir,500000,36,14,31,3472.222222222222
TQRMNOPXVHMNLMCDEGNFJ00810453,2023,3,Patagonia,17,30/05/1982,41,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,multiples,Sabe leer y escribir,145000,59,13,23,614.4067796610169
TQRMNOTQVHMOKSCDEHPJB00811590,2023,3,Noroeste,29,31/10/1981,41,asistio,"Secundaria
Incompleta",Privada,5300,Varon,Obrero o empleado,unico,Sabe leer y escribir,48000,48,11,25,250
TQRMNOTXYHJOLTCDEIJAH00792192,2023,3,Gran Buenos Aires,33,24/11/1984,38,asistio,"Superior
Universitaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,350000,60,16,17,1458.3333333333333
TQRMNORRWHMNLQCDEHJGH00810978,2023,3,Noroeste,23,30/01/1963,60,asistio,"Primaria
Incompleta",Privada,4810,Mujer,Cuenta propia,unico,Sabe leer y escribir,100000,16,4,51,1562.5
TQRMNOSUVHKMRLCDEIJAH00791820,2023,3,Gran Buenos Aires,33,17/02/2005,18,asistio,"Secundaria
Completa",Privada,5601,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,48,13,0,520.8333333333334
TQRMNOPURHJMMPCDEFKID00782114,2023,3,Pampeana,4,01/01/1900,19,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,70000,25,13,1,700
TQRMNORRTHKOLQCDEHJGH00790280,2023,3,Noroeste,23,02/09/2001,22,asistio,"Secundaria
Completa",Privada,2500,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,45,13,4,666.6666666666666
TQRMNOPXWHLMKTCDEGGFB00804637,2023,3,Cuyo,10,01/01/1900,34,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,40000,16,16,13,625
TQRMNOSPRHJMKNCDEOJAH00787172,2023,3,Patagonia,93,01/05/1982,41,asistio,"Superior
Universitaria
Completa",Estatal,8600,Varon,Obrero o empleado,unico,Sabe leer y escribir,220000,35,19,17,1571.4285714285713
TQRMNOPQXHMOLPCDEHIBB00810797,2023,3,Noroeste,22,26/06/1967,56,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,280000,50,13,38,1400
TQRMNOTTTHKMKUCDEHJGH00790196,2023,3,Noroeste,23,07/09/1993,29,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,220000,48,16,8,1145.8333333333333
TQRMNORVYHMOKOCDEGOIH00810530,2023,3,Noroeste,18,01/01/1900,47,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,120000,30,13,29,1000
TQRMNOTQRHKMKPCDEHGHJ00789919,2023,3,Patagonia,20,04/06/1986,37,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,190000,40,13,19,1187.5
TQSMNOQRQHKOLPCDEGLDF00789437,2023,3,Noreste,15,25/05/1995,28,asistio,"Secundaria
Completa",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,40,13,10,625
TQRMNOTQYHKOKUCDEIHJF00791182,2023,3,Patagonia,31,15/01/1995,28,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,120000,25,13,10,1200
TQRMNORSQHMLLRCDEIIAD00811964,2023,3,Gran Buenos Aires,32,19/12/1969,53,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,299991,48,19,29,1562.453125
TQRMNOQPXHLMLOCDEGIBJ00804761,2023,3,Noreste,12,23/01/1951,72,asistio,"Superior
Universitaria
Completa",Privada,7500,Varon,Cuenta propia,unico,Sabe leer y escribir,260000,48,19,48,1354.1666666666667
TQRMNOPXQHLMKQCDEIOAH00808170,2023,3,Pampeana,38,01/01/1900,62,asistio,"Superior
Universitaria
Completa",Otra,9409,Mujer,Obrero o empleado,unico,Sabe leer y escribir,155000,40,16,41,968.75
TQRMNOPPYHJMLPCDEIJAH00807757,2023,3,Gran Buenos Aires,33,01/01/1900,38,asistio,"Secundaria
Completa",Estatal,4901,Varon,Obrero o empleado,multiples,Sabe leer y escribir,250000,48,13,20,1302.0833333333333
TQRMNORWRHLMKMCDEIGED00806620,2023,3,Pampeana,30,17/09/1985,38,asistio,"Superior
Universitaria
Completa",Privada,4000,Varon,Obrero o empleado,multiples,Sabe leer y escribir,700000,63,19,14,2777.777777777778
TQRMNORPQHKOKMCDEGGFB00793287,2023,3,Cuyo,10,01/01/1900,30,asistio,"Secundaria
Completa",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,150000,55,13,12,681.8181818181819
TQRMNOPRYHLOKSCDEGOIH00810523,2023,3,Noroeste,18,07/09/1992,31,asistio,"Superior
Universitaria
Incompleta",Privada,9609,Mujer,Cuenta propia,unico,Sabe leer y escribir,50000,20,14,12,625
TQRMNORQQHKLKOCDEIOAH00813128,2023,3,Pampeana,38,18/10/2002,20,asistio,"Superior
Universitaria
Incompleta",Privada,9603,Varon,Obrero o empleado,unico,Sabe leer y escribir,160000,48,14,1,833.3333333333334
TQRMNOTVSHJMKQCDEGKDB00783569,2023,3,Pampeana,14,01/01/1900,46,asistio,"Secundaria
Completa",Privada,3501,Varon,Obrero o empleado,unico,Sabe leer y escribir,240000,50,13,28,1200
TQRMNPTSSHMOKNCDEGOIH00810590,2023,3,Noroeste,18,08/08/1976,47,asistio,"Secundaria
Completa",Privada,9999,Varon,Obrero o empleado,unico,Sabe leer y escribir,90000,56,13,29,401.7857142857143
TQRMNORUSHKMKUCDEGJBF00788948,2023,3,Pampeana,13,01/01/1900,24,asistio,"Secundaria
Incompleta",Privada,1009,Varon,Cuenta propia,unico,Sabe leer y escribir,60000,24,11,8,625
TQRMNOWYXHKMKMCDEHLEH00790377,2023,3,Noroeste,25,01/01/1900,23,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,100000,20,16,2,1250
TQRMNOQXSHJOLQCDEGJBF00783465,2023,3,Pampeana,13,19/08/1992,30,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,150000,46,13,12,815.2173913043479
TQRMNOPVVHJLPLCDEIJAH00812439,2023,3,Gran Buenos Aires,33,10/07/1996,27,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,multiples,Sabe leer y escribir,210000,84,13,9,625
TQRMNOSTQHKOKOCDEFNFF00788181,2023,3,Noreste,7,04/07/1972,51,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,190000,30,19,27,1583.3333333333333
TQRMNORSSHLKLOCDEIIAD00807030,2023,3,Gran Buenos Aires,32,02/08/1986,37,asistio,"Superior
Universitaria
Incompleta",Privada,6900,Varon,Obrero o empleado,multiples,Sabe leer y escribir,500000,37,14,18,3378.3783783783783
TQRMNORWYHMMKNCDEFKID00808836,2023,3,Pampeana,4,18/02/1992,31,asistio,"Superior
Universitaria
Completa",Privada,9999,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,287000,42,16,10,1708.3333333333333
TQRMNOPXQHMMKTCDEIMBF00813021,2023,3,Pampeana,36,06/01/1995,28,asistio,"Secundaria
Incompleta",Privada,9302,Varon,Obrero o empleado,unico,Sabe leer y escribir,60000,12,11,12,1250
TQRMNOQWXHKNLLCDEIMBF00792653,2023,3,Pampeana,36,13/02/1993,30,asistio,"Secundaria
Incompleta",Privada,8700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,100000,40,11,14,625
TQRMNOSTUHJOKOCDEGKDB00783522,2023,3,Pampeana,14,17/03/1999,24,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,90000,40,13,6,562.5
TQRMNORWWHJMLRCDEGJBF00783389,2023,3,Pampeana,13,14/01/1987,36,asistio,"Primaria
Incompleta",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,190000,48,5,26,989.5833333333334
TQRMNOTSRHJMLLCDEHLEH00784548,2023,3,Noroeste,25,01/01/1900,19,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,5900,Varon,Cuenta propia,unico,Sabe leer y escribir,90000,12,13,1,1875
TQRMNOPVUHLOKRCDEGJBF00804973,2023,3,Pampeana,13,15/09/1984,38,asistio,"Superior
Universitaria
Completa",Privada,4808,Mujer,Cuenta propia,unico,Sabe leer y escribir,140000,84,16,17,416.6666666666667
TQRMNORVPHJNLRCDEFIAH00781778,2023,3,Pampeana,2,18/07/1972,51,asistio,"Secundaria
Completa",Privada,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,250000,48,13,33,1302.0833333333333
TQRMNOPQPHMOLPCDEGOIH00810572,2023,3,Noroeste,18,23/02/1966,57,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,140000,30,10,42,1166.6666666666667
TQRMNOPSVHKOKRCDEFNFF00788193,2023,3,Noreste,7,14/06/1977,46,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,50400,30,13,28,420
TQRMNORXPHLMKMCDEIJAH00807794,2023,3,Gran Buenos Aires,33,05/03/1975,48,asistio,"Superior
Universitaria
Incompleta",Privada,4808,Mujer,Patron,unico,Sabe leer y escribir,300000,48,16,27,1562.5
TQRMNORQUHMOLLCDEGIBJ00809813,2023,3,Noreste,12,17/07/1994,29,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,185000,49,19,5,943.8775510204082
TQRMNOQRUHMNLQCDEGPDJ00810701,2023,3,Noroeste,19,21/09/1954,68,asistio,"Secundaria
Completa",Privada,8000,Varon,Obrero o empleado,unico,Sabe leer y escribir,200000,24,13,50,2083.3333333333335
TQRMNOQPXHMMKTCDEGLDF00810211,2023,3,Noreste,15,27/06/1993,30,asistio,"Secundaria
Completa",Privada,4000,Mujer,Obrero o empleado,unico,Sabe leer y escribir,130000,40,13,12,812.5
TQRMNOQSWHLMLNCDEHGHJ00805655,2023,3,Patagonia,20,22/11/1972,50,asistio,"Secundaria
Completa",Privada,4904,Varon,Obrero o empleado,unico,Sabe leer y escribir,250000,48,13,32,1302.0833333333333
TQRMNOPQUHMMMLCDEGJBF00810017,2023,3,Pampeana,13,09/02/1986,37,asistio,"Superior
Universitaria
Incompleta",Privada,8200,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,30,15,17,1000
TQRMNOSXUHMOLPCDEHIBB00810832,2023,3,Noroeste,22,06/05/1959,64,asistio,"Secundaria
Completa",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,30000,8,13,46,937.5
TQRMNOQTRHJMLPCDEHIBB00784204,2023,3,Noroeste,22,06/02/1970,53,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,165000,35,13,35,1178.5714285714287
TQRMNOWXVHJOLUCDEFKID00782144,2023,3,Pampeana,4,01/01/1900,27,asistio,"Secundaria
Completa",Privada,8700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,136000,60,13,9,566.6666666666666
TQRMNORPPHKMLQCDEHMHF00790493,2023,3,Cuyo,26,13/04/1961,62,asistio,"Secundaria
Incompleta",Privada,9700,Varon,Obrero o empleado,unico,Sabe leer y escribir,33600,12,10,47,700
TQRMNOXSUHLOKRCDEIHJF00806741,2023,3,Patagonia,31,16/06/1982,41,asistio,"Secundaria
Completa",Privada,2800,Varon,Obrero o empleado,unico,Sabe leer y escribir,240000,54,13,23,1111.111111111111
TQRMNORPQHMOLQCDEGNFJ00810449,2023,3,Patagonia,17,11/01/1997,26,asistio,"Secundaria
Completa",Privada,8000,Varon,Obrero o empleado,unico,Sabe leer y escribir,180000,60,13,8,750
TQRMNOYYSHLOKPCDEGLDF00805106,2023,3,Noreste,15,20/02/1973,50,asistio,"Secundaria
Incompleta",Privada,102,Varon,Obrero o empleado,unico,Sabe leer y escribir,70000,24,9,36,729.1666666666666
TQRMNORVUHKOKMCDEGOIH00789645,2023,3,Noroeste,18,30/10/1966,56,asistio,"Superior
Universitaria
Incompleta",Privada,4000,Varon,Patron,unico,Sabe leer y escribir,200000,70,16,35,714.2857142857143
TQRMNORUQHJOKNCDEHPJB00784889,2023,3,Noroeste,29,03/08/1994,29,asistio,"Secundaria
Completa",Privada,4804,Mujer,Obrero o empleado,unico,Sabe leer y escribir,24000,8,13,11,750
TQRMNOQVYHJOKQCDEGJBF00783411,2023,3,Pampeana,13,29/07/1955,68,asistio,"Primaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,25000,6,4,59,1041.6666666666667
TQRMNOPUQHMLLPCDEOHCH00813298,2023,3,Patagonia,91,29/06/1991,32,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,240000,60,13,14,1000
TQRMNOSWUHJKKSCDEHPJB00785004,2023,3,Noroeste,29,11/02/1984,39,asistio,"Superior
Universitaria
Completa",Otra,9409,Mujer,Obrero o empleado,unico,Sabe leer y escribir,17000,9,19,15,472.22222222222223
TQRMNORWWHMOLUCDEHPJB00811479,2023,3,Noroeste,29,08/12/1962,60,asistio,"Primaria
Completa",Privada,4808,Varon,Cuenta propia,unico,Sabe leer y escribir,55000,42,8,47,327.3809523809524
TQRMNORXTHLNLQCDEIMBF00808064,2023,3,Pampeana,36,01/10/1998,24,asistio,"Secundaria
Completa",Privada,4804,Mujer,Obrero o empleado,unico,Sabe leer y escribir,190000,48,13,6,989.5833333333334
TQRMNOQPRHJNLPCDEIGED00785129,2023,3,Pampeana,30,08/11/1962,60,asiste actualmente,"Secundaria
Incompleta",Privada,4804,Mujer,Cuenta propia,unico,Sabe leer y escribir,20000,20,11,44,250
TQRMNOPQYHJNKMCDEIGED00785122,2023,3,Pampeana,30,27/02/2002,21,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,40,10,6,625
TQRMNOSYYHKMKPCDEFPCH00788412,2023,3,Patagonia,9,07/03/1991,32,asistio,"Secundaria
Incompleta",Privada,2500,Varon,Obrero o empleado,unico,Sabe leer y escribir,190000,44,10,17,1079.5454545454545
TQRMNORRYHMMLLCDEFIAH00808536,2023,3,Pampeana,2,01/01/1900,36,asistio,"Superior
Universitaria
Completa",Privada,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,300000,25,19,12,3000
TQRMNOSXRHJMKQCDEIOAH00786895,2023,3,Pampeana,38,01/01/1900,36,asistio,"Secundaria
Completa",Privada,3100,Varon,Cuenta propia,unico,Sabe leer y escribir,250000,40,13,18,1562.5
TQRMNOPWTHMKKUCDEOJAH00813430,2023,3,Patagonia,93,14/10/1964,59,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,300000,40,19,35,1875
TQRMNOPUUHMNKTCDEIOAH00813224,2023,3,Pampeana,38,31/05/1993,30,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,200000,48,13,12,1041.6666666666667
TQRMNORYQHLMLMCDEGOIH00805485,2023,3,Noroeste,18,05/09/1980,42,asistio,"Primaria
Completa",Estatal,8401,Varon,Obrero o empleado,multiples,Sabe leer y escribir,105000,36,8,29,729.1666666666666
TQRMNOPTSHMOKNCDEIOAH00813253,2023,3,Pampeana,38,09/09/1947,76,asistio,"Secundaria
Completa",Privada,4807,Varon,Cuenta propia,unico,Sabe leer y escribir,100000,70,13,58,357.14285714285717
TQRMNOTQUHMMKRCDEIOAH00813146,2023,3,Pampeana,38,01/01/1900,30,asistio,"Secundaria
Completa",Privada,4000,Varon,Patron,unico,Sabe leer y escribir,300000,60,13,12,1250
TQRMNOSSPHKNLTCDEFJAH00808788,2023,3,Pampeana,3,01/09/1968,55,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,160000,30,16,34,1333.3333333333333
TQRMNOQVQHMNKSCDEIOAH00813148,2023,3,Pampeana,38,03/02/1979,44,asistio,"Superior
Universitaria
Incompleta",Privada,48,Varon,Obrero o empleado,unico,Sabe leer y escribir,200000,40,16,23,1250
TQRMNOQSVHMOLNCDEHMHF00811312,2023,3,Cuyo,26,29/09/1992,30,asistio,"Secundaria
Completa",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,80000,18,13,12,1111.111111111111
TQRMNOSYTHLOLTCDEIKAH00807956,2023,3,Pampeana,34,03/09/1989,34,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,29000,12,13,16,604.1666666666666
TQRMNORXPHJOKPCDEGIBJ00788836,2023,3,Noreste,12,01/01/1900,49,asistio,"Superior
Universitaria
Completa",Estatal,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,240000,25,19,25,2400
TQRMNOPVUHMOLMCDEGLDF00810213,2023,3,Noreste,15,28/03/1977,46,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,180000,21,16,25,2142.8571428571427
TQRMNORRQHJLKUCDEFKID00782226,2023,3,Pampeana,4,12/08/1986,37,asistio,"Superior
Universitaria
Completa",Privada,8600,Mujer,Cuenta propia,unico,Sabe leer y escribir,400000,40,19,13,2500
TQRMNOTTXHLOKMCDEIOAH00813174,2023,3,Pampeana,38,12/08/1992,31,asistio,"Superior
Universitaria
Completa",Privada,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,180000,40,16,10,1125
