codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,salario,horas_trabajadas,educacion,experiencia_potencial,salario_horario
TQRMNOSWVHMMLOCDEHIBB00810883,2023,3,Noroeste,22,28/10/1981,41,asistio,"Secundaria
Completa",Privada,8509,Mujer,Cuenta propia,unico,Sabe leer y escribir,3000,10,13,23,75
TQRMNORTPHKOKQCDEFLID00787876,2023,3,Pampeana,5,19/09/1979,43,asistio,"Superior
Universitaria
Incompleta",Privada,9602,Mujer,Cuenta propia,unico,Sabe leer y escribir,120000,40,15,23,750
TQTMNOPTTHLMLUCDEGJBF00810016,2023,3,Pampeana,13,01/04/1988,35,asistio,"Secundaria
Completa",Privada,4807,Varon,Obrero o empleado,unico,Sabe leer y escribir,230000,49,13,17,1173.469387755102
TQRMNOPQTHKLKMCDEOHCH00792879,2023,3,Patagonia,91,20/05/1961,62,asistio,"Secundaria
Incompleta",Privada,9503,Varon,Cuenta propia,multiples,Sabe leer y escribir,160000,36,9,48,1111.111111111111
TQRMNOSQWHMOKRCDEGIBJ00809793,2023,3,Noreste,12,11/04/2002,21,asiste actualmente,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,120000,24,13,3,1250
TQSMNOSTRHMOKNCDEIMBF00813064,2023,3,Pampeana,36,09/01/2000,23,asistio,"Primaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,130000,40,7,11,812.5
TQRMNOQRUHMMOPCDEIJAH00812538,2023,3,Gran Buenos Aires,33,27/11/1968,54,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,150000,40,13,36,937.5
TQRMNOPYVHJMOPCDEIIAD00785523,2023,3,Gran Buenos Aires,32,19/08/1964,59,asistio,"Superior
Universitaria
Completa",Privada,9401,Varon,Cuenta propia,unico,Sabe leer y escribir,400000,40,19,35,2500
TQRMNOQVWHLLLQCDEGOIH00805440,2023,3,Noroeste,18,09/10/1990,32,asistio,"Secundaria
Incompleta",Privada,4805,Varon,Obrero o empleado,unico,Sabe leer y escribir,160000,48,11,16,833.3333333333334
TQRMNOPWRHKKKMCDEIHJF00791136,2023,3,Patagonia,31,26/01/1991,32,asistio,"Secundaria
Completa",Privada,1009,Mujer,Obrero o empleado,unico,Sabe leer y escribir,70000,40,13,14,437.5
TQRMNOPXQHMNPNCDEIJAH00812311,2023,3,Gran Buenos Aires,33,23/08/1969,54,asistio,"Secundaria
Incompleta",Privada,1009,Varon,Patron,unico,Sabe leer y escribir,450000,72,12,37,1562.5
TQRMNOQPXHLLLQCDEHPJB00806447,2023,3,Noroeste,29,04/07/2003,20,asistio,"Secundaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,80000,60,13,2,333.3333333333333
TQRMNORXSHJNLUCDEIJAH00786296,2023,3,Gran Buenos Aires,33,07/01/1967,56,asistio,"Primaria
Incompleta",Otra,8700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,110000,24,5,46,1145.8333333333333
TQTMNOQVXHLOKNCDEFOCD00809495,2023,3,Noreste,8,20/11/1979,43,asistio,"Secundaria
Completa",Privada,4805,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,42,13,25,595.2380952380952
TQRMNOPXSHMMKTCDEHGHJ00810736,2023,3,Patagonia,20,15/04/1999,24,asistio,"Secundaria
Incompleta",Privada,7400,Varon,Patron,unico,Sabe leer y escribir,150000,30,12,7,1250
TQRMNOQRXHJMKRCDEIMBF00786854,2023,3,Pampeana,36,14/10/1983,39,asistio,"Superior
Universitaria
Incompleta",Privada,1009,Varon,Obrero o empleado,unico,Sabe leer y escribir,330000,35,16,18,2357.1428571428573
TQRMNOPTTHJMLOCDEHJGH00784486,2023,3,Noroeste,23,31/01/1991,32,asistio,"Superior
Universitaria
Completa",Privada,6200,Varon,Obrero o empleado,unico,Sabe leer y escribir,300000,32,19,8,2343.75
TQRMNOPQSHMOLPCDEHIBB00810884,2023,3,Noroeste,22,07/12/1992,30,asistio,"Secundaria
Incompleta",Privada,1009,Varon,Obrero o empleado,unico,Sabe leer y escribir,240000,48,9,16,1250
TQRMNORTXHMOTSCDEIJAH00812754,2023,3,Gran Buenos Aires,33,02/03/1975,48,asistio,"Secundaria
Completa",Privada,2500,Varon,Obrero o empleado,unico,Sabe leer y escribir,600000,66,13,30,2272.7272727272725
TQRMNOQVUHMOKPCDEHPJB00811654,2023,3,Noroeste,29,02/06/1986,37,asistio,"Secundaria
Completa",Privada,4501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,103000,20,13,19,1287.5
TQRMNORUSHLKLUCDEIJAH00807277,2023,3,Gran Buenos Aires,33,19/12/2000,22,asistio,"Superior
Universitaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,220000,35,19,0,1571.4285714285713
TQRMNOQSUHMOLNCDEHNHB00811458,2023,3,Cuyo,27,29/01/1995,28,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,190000,49,16,7,969.3877551020408
TQRMNOSXXHMLKNCDEHJGH00810935,2023,3,Noroeste,23,19/02/1982,41,asistio,"Secundaria
Completa",Privada,1003,Mujer,Obrero o empleado,unico,Sabe leer y escribir,114000,56,13,23,508.92857142857144
TQRMNOPUPHKKLUCDEHJGH00810908,2023,3,Noroeste,23,23/01/1971,52,asistio,"Secundaria
Completa",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,80000,24,13,34,833.3333333333334
TQRMNORTXHLMLNCDEFIAH00803330,2023,3,Pampeana,2,17/08/1980,42,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,300000,48,16,21,1562.5
TQRMNOQUUHKMLQCDEHNHB00790644,2023,3,Cuyo,27,18/08/1999,24,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,175000,50,13,6,875
TQRMNORYRHJMLUCDEFIAH00803346,2023,3,Pampeana,2,09/04/1991,32,asistio,"Superior
Universitaria
Completa",Privada,4000,Mujer,Obrero o empleado,unico,Sabe leer y escribir,300000,40,19,8,1875
TQRMNOSUWHMOLMCDEHMHF00811237,2023,3,Cuyo,26,09/08/1989,34,asistio,"Secundaria
Incompleta",Privada,4804,Varon,Obrero o empleado,unico,Sabe leer y escribir,170000,44,11,18,965.9090909090909
TQRMNORQVHKOLPCDEFJAH00787513,2023,3,Pampeana,3,12/03/1971,52,asistio,"Secundaria
Incompleta",Privada,3800,Varon,Obrero o empleado,unico,Sabe leer y escribir,150000,55,10,37,681.8181818181819
TQRMNORPXHJLLNCDEGPDJ00784004,2023,3,Noroeste,19,12/07/1996,27,asistio,"Superior
Universitaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,120000,40,16,6,750
TQRMNOPRVHKOLNCDEGGFB00788721,2023,3,Cuyo,10,01/01/1900,31,asistio,"Secundaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,90000,40,11,15,562.5
TQRMNORRWHLMKQCDEFOCD00804287,2023,3,Noreste,8,15/01/2000,23,asistio,"Secundaria
Completa",Privada,2500,Varon,Cuenta propia,unico,Sabe leer y escribir,40000,42,13,5,238.0952380952381
TQRMNOQRWHKOKRCDEHMHF00790562,2023,3,Cuyo,26,17/11/1978,44,asistio,"Primaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,No sabe leer y escribir,90000,44,3,36,511.3636363636364
TQRMNOSYUHMONMCDEIJAH00812174,2023,3,Gran Buenos Aires,33,26/01/1969,54,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,100000,16,10,39,1562.5
TQRMNORRVHMMKUCDEIIAD00812137,2023,3,Gran Buenos Aires,32,16/12/1954,68,asistio,"Superior
Universitaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,140000,42,16,47,833.3333333333334
TQRMNORVWHLOLQCDEFJAH00803489,2023,3,Pampeana,3,31/12/1992,30,asistio,"Secundaria
Completa",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,100000,40,13,12,625
TQRMNOPTPHLOKQCDEGPDJ00805551,2023,3,Noroeste,19,22/04/1972,51,asistio,"Primaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,50000,12,8,38,1041.6666666666667
TQRMNORWVHMMLLCDEGOIH00810550,2023,3,Noroeste,18,02/08/1993,30,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,45000,25,14,11,450
TQRMNOPRPHMLKRCDEHMHF00811274,2023,3,Cuyo,26,11/10/1965,57,asistio,"Secundaria
Completa",Privada,4903,Varon,Cuenta propia,unico,Sabe leer y escribir,50000,48,13,39,260.4166666666667
